title,popularity,vote_average,runtime,genres,original_language,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,ScienceFiction,TVMovie,Thriller,Unknown,War,Western
X-Men,1.259,6.996,104,"Adventure,Action,ScienceFiction",en,10530,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
X2,1.157,7.029,133,"Adventure,Action,ScienceFiction",en,9417,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
X-Men: The Last Stand,1.071,6.406,104,"Adventure,Action,ScienceFiction,Thriller",en,8988,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Grave of the Fireflies,0.6,8.455,89,"Animation,Drama,War",ja,4861,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
The Internship,1.204,6.253,119,Comedy,en,3926,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manhunter,0.781,7.0,120,"Crime,Horror,Thriller",en,1169,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Serial Teachers,0.6,5.454,88,Comedy,fr,1152,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hotarubi no Mori e,0.6,8.363,45,"Romance,Animation,Fantasy",ja,987,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Toy Story of Terror!,0.708,7.191,22,"Adventure,Animation,Comedy,Family",en,848,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bring It On: All or Nothing,1.271,6.657,99,Comedy,en,736,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Starving Games,0.719,4.15,83,Comedy,en,571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bring It On: Fight to the Finish,1.181,6.751,102,Comedy,en,498,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bring It On: In It to Win It,1.057,6.5,90,Comedy,en,480,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tracks,0.6,6.918,112,"Adventure,Drama",en,472,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bring It On Again,0.781,5.918,90,Comedy,en,388,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G.B.F.,0.63,5.968,93,"Comedy,Drama",en,380,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lisbela and the Prisoner,0.986,7.8,106,"Comedy,Romance",pt,360,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Odds and Evens,0.6,6.925,110,"Comedy,Crime,Action",it,353,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Bandoleros,0.708,6.258,20,"Action,Drama",en,337,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Stalingrad,0.681,6.53,131,"War,Action,Drama",ru,312,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Omar,0.6,7.158,96,"Thriller,Drama,Romance",ar,146,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Mohamed Dubois,0.6,4.821,92,Comedy,fr,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
